product,product_link,image_link,brand,likes,gender,main_category,sub_category
오버핏 블룸 스웨트 셔츠-멜란지그레이,https://www.musinsa.com/products/2697715,https://image.msscdn.net/thumbnails/images/goods_img/20220804/2697715/2697715_1_big.jpg?w=780,필루미네이트,6.0천,공용,상의,맨투맨/스웨트
Blended Sweat Shirt M.Grey,https://www.musinsa.com/products/4741871,https://image.msscdn.net/thumbnails/images/goods_img/20250123/4741871/4741871_17398572122989_big.jpg?w=780,러프사이드,147,남성,상의,맨투맨/스웨트
홉이즈니얼 프린트 보트넥 맨투맨 블랙,https://www.musinsa.com/products/4975431,https://image.msscdn.net/thumbnails/images/goods_img/20250401/4975431/4975431_17435146481385_big.jpg?w=780,페이지시시,12,여성,상의,맨투맨/스웨트
브이넥 풀 오버 그래픽 웜 업 (BLACK),https://www.musinsa.com/products/3461169,https://image.msscdn.net/thumbnails/images/goods_img/20230811/3461169/3461169_16917265118121_big.jpg?w=780,트릴리온,2.9천,공용,상의,맨투맨/스웨트
87-STAN210 샌드 빈티지 오버핏 반팔 체크 셔츠 브라운,https://www.musinsa.com/products/4948201,https://image.msscdn.net/thumbnails/images/goods_img/20250326/4948201/4948201_17430528152448_big.jpg?w=780,스탠다드에러,310,공용,상의,셔츠/블라우스
피치 밀크 체크 셔츠_Red,https://www.musinsa.com/products/4168925,https://image.msscdn.net/thumbnails/images/goods_img/20240531/4168925/4168925_17467516515861_big.jpg?w=780,무드인사이드,5.6천,남성,상의,셔츠/블라우스
옵티멀 베이직 셔츠-화이트[린넨＆옥스포드 선택],https://www.musinsa.com/products/994588,https://image.msscdn.net/thumbnails/images/goods_img/20190326/994588/994588_16764335228041_big.jpg?w=780,필루미네이트,8.5만,공용,상의,셔츠/블라우스
사선 라인 더블 빅 포켓 백트임 오버핏 코튼 셔츠_4COLOR,https://www.musinsa.com/products/4800291,https://image.msscdn.net/thumbnails/images/goods_img/20250218/4800291/4800291_17404659628974_big.jpg?w=780,플레이스 스튜디오,1.7천,여성,상의,셔츠/블라우스
페넬 린넨 스트라이프 셔츠 - 카키 베이지,https://www.musinsa.com/products/4073330,https://image.msscdn.net/thumbnails/images/goods_img/20240422/4073330/4073330_17447957038498_big.jpg?w=780,노이즈,3.5천,공용,상의,셔츠/블라우스
엠브로이더리 스트라이프 롤업 하프 셔츠 아이보리,https://www.musinsa.com/products/5021313,https://image.msscdn.net/thumbnails/images/goods_img/20250414/5021313/5021313_17449359602735_big.jpg?w=780,파르티멘토,324,남성,상의,셔츠/블라우스
Standard Stitch Linen Shirt S74 Mandarin Orange,https://www.musinsa.com/products/1755882,https://image.msscdn.net/thumbnails/images/goods_img/20210120/1755882/1755882_17236007672907_big.jpg?w=780,다이아몬드 레이라,740,공용,상의,셔츠/블라우스
